danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_min,is_short_track,energy_x_danceability,acoustic_minus_energy,explicit_int,macro_classical,macro_electronic,macro_folk_country,macro_hiphop_rnb,macro_jazz_blues,macro_latin,macro_metal,macro_mood_other,macro_pop,macro_reggae,macro_rock,macro_world,key_0,key_1,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,ts_3,ts_4,ts_5,popularity,is_hit
0.444,0.938,-6.836,1,0.0565,1.6e-05,0.131,0.0578,0.555,145.318,4.466666666666667,0,0.41647199999999995,-0.9379839999999999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,22,0
0.284,0.108,-9.352,1,0.0473,0.674,4.65e-06,0.204,0.282,148.956,1.5744333333333334,1,0.030671999999999998,0.5660000000000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,28,0
0.503,0.381,-9.31,1,0.0283,0.722,1.15e-05,0.154,0.263,80.658,4.640016666666667,0,0.191643,0.34099999999999997,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,56,0
0.685,0.811,-5.319,0,0.0422,0.674,0.919,0.122,0.953,122.915,4.365833333333334,0,0.5555350000000001,-0.137,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,17,0
0.742,0.939,-4.784,1,0.106,0.363,0.00604,0.157,0.965,154.955,2.102,1,0.696738,-0.576,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,28,0
0.772,0.575,-6.487,0,0.0424,0.00336,0.883,0.102,0.328,125.004,6.080166666666667,0,0.44389999999999996,-0.5716399999999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,42,0
0.565,0.676,-6.377,0,0.0527,0.277,1.56e-06,0.274,0.188,66.44,2.66605,0,0.38194,-0.399,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,0
0.647,0.887,-5.513,0,0.052,0.544,0.0,0.228,0.966,167.883,4.7763,0,0.573889,-0.34299999999999997,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,42,0
0.732,0.892,-5.799,1,0.035,0.118,0.0,0.271,0.404,105.055,4.131766666666667,0,0.652944,-0.774,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,46,0
0.508,0.642,-5.218,0,0.0287,0.00843,0.0,0.129,0.0491,143.855,3.2222166666666667,0,0.32613600000000004,-0.63357,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,47,0
0.378,0.769,-5.635,1,0.114,0.332,9.53e-06,0.971,0.339,88.717,4.2051,0,0.290682,-0.437,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,23,0
0.71,0.882,-2.932,0,0.0595,0.00777,0.00771,0.294,0.875,128.016,3.88,0,0.62622,-0.87423,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,66,0
0.617,0.956,-2.395,1,0.0521,0.00042,0.0166,0.523,0.0704,170.082,2.635283333333333,0,0.5898519999999999,-0.95558,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,22,0
0.844,0.682,-9.556,1,0.0453,0.00207,0.797,0.113,0.352,99.99,3.7314333333333334,0,0.575608,-0.67993,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,55,0
